Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2021-05-19;00:42:20;-33.16;-109.38;15;f;Mw;6.6;SOUTHERN EAST PACIFIC RISE;2021-05-19 01:53;986078;
2021-05-14;06:33:08;0.16;96.65;10; ;Mw;6.6;NIAS REGION, INDONESIA;2021-05-14 06:53;984397;
2021-05-13;23:58:14;37.73;141.75;41; ;Mw;6.0;NEAR EAST COAST OF HONSHU, JAPAN;2021-05-17 06:34;984302;
2021-05-13;09:42:12;6.71;-82.34;15;f;Mw;6.0;SOUTH OF PANAMA;2021-05-13 22:28;984056;
2021-05-12;14:05:16;-17.31;66.45;10;f;Mw;6.7;MAURITIUS - REUNION REGION;2021-05-12 14:22;983678;
2021-05-07;23:35:15;-18.90;-177.57;400;f;Mw;6.1;FIJI REGION;2021-05-08 16:55;981143;
2021-05-07;15:21:14;-54.49;144.13;15;f;Mw;6.0;WEST OF MACQUARIE ISLAND;2021-05-08 16:44;980998;
2021-05-01;01:27:28;38.24;141.68;60; ;Mw;6.8;NEAR EAST COAST OF HONSHU, JAPAN;2021-05-01 01:47;978221;
2021-04-28;02:21:25;26.77;92.43;34; ;Mw;6.0;ASSAM, INDIA;2021-04-28 06:23;976646;
2021-04-25;22:28:01;-21.69;-177.13;242; ;Mw;6.5;FIJI REGION;2021-04-26 05:46;975549;
2021-04-24;00:23:35;-18.91;-176.25;279; ;Mw;6.5;FIJI REGION;2021-04-24 20:22;974653;
2021-04-19;23:58:22;0.24;96.54;10; ;Mw;6.0;NIAS REGION, INDONESIA;2021-04-20 06:44;972645;
2021-04-10;11:38:32;-3.46;145.68;10; ;Mw;6.0;NEAR N COAST OF NEW GUINEA, PNG.;2021-04-11 09:10;968593;
2021-04-10;09:30:44;4.17;124.61;320; ;Mw;6.1;CELEBES SEA;2021-04-10 09:51;968567;
2021-04-10;07:00:17;-8.54;112.51;89; ;Mw;6.0;JAVA, INDONESIA;2021-04-10 10:14;968537;
